Route State,Factory,State/Province,State Code,Region,Total_Shipments,Average_Lead_Time,Median_Lead_Time,Lead_Time_Variability,Delay_Frequency,Sales,Gross_Profit,Lead_Component,Variability_Component,Delay_Component,Route_Efficiency_Score,Eligible_for_Ranking,Rank
Lot's O' Nuts → Prince Edward Island,Lot's O' Nuts,Prince Edward Island,,Atlantic,6,5.166666666666667,5.0,0.7527726527090809,0.3333333333333333,78.1,54.9,54.282407407407405,90.00349131149366,58.333333333333336,64.22540986491045,True,77.0
Wicked Choccy's → New York,Wicked Choccy's,New York,NY,Atlantic,353,4.368271954674221,5.0,1.8556766759946475,0.2747875354107649,5518.25,3594.11,73.68783443500158,43.36067559501174,65.65155807365439,64.09697563466732,True,78.0
Lot's O' Nuts → Oregon,Lot's O' Nuts,Oregon,OR,Pacific,62,4.451612903225806,5.0,1.6364437587550886,0.3225806451612903,1085.9,751.6,71.66218637992833,52.632235351706754,59.67741935483872,63.90850686660053,True,79.0
Wicked Choccy's → Illinois,Wicked Choccy's,Illinois,IL,Interior,183,4.557377049180328,5.0,1.6460868365722088,0.2786885245901639,2801.5,1825.22,69.0915300546448,52.224420807496706,65.16393442622952,63.892853835753954,True,80.0
Lot's O' Nuts → Mississippi,Lot's O' Nuts,Mississippi,MS,Gulf,25,4.48,4.0,1.7349351572897473,0.28,448.43,312.33,70.97222222222221,48.46694439753531,65.0,63.852847210494936,True,81.0
Lot's O' Nuts → Indiana,Lot's O' Nuts,Indiana,IN,Interior,74,4.472972972972973,5.0,1.7612493462123713,0.28378378378378377,1253.78,869.58,71.14301801801803,47.354093379918844,64.52702702702703,63.54178911074548,True,82.0
Lot's O' Nuts → Alabama,Lot's O' Nuts,Alabama,AL,Gulf,30,4.7,4.5,1.5789564428051404,0.26666666666666666,475.61,326.91,65.62499999999999,55.06342630511426,66.66666666666667,63.24502324294522,True,83.0
Wicked Choccy's → Alberta,Wicked Choccy's,Alberta,,Pacific,8,5.375,5.0,0.5175491695067655,0.375,146.0,94.88,49.21875,99.95130666763896,53.12500000000001,62.87845166690974,True,84.0
Wicked Choccy's → New Jersey,Wicked Choccy's,New Jersey,NJ,Atlantic,49,4.551020408163265,4.0,1.7085718267239542,0.30612244897959184,672.0,437.56,69.24603174603175,49.58187366000169,61.734693877551024,62.45215775740405,True,85.0
Wicked Choccy's → Washington,Wicked Choccy's,Washington,WA,Pacific,187,4.3689839572192515,5.0,1.9804692977994367,0.2887700534759358,3023.0,1969.64,73.67052881758764,38.08308195247745,63.903743315508024,62.331970725790185,True,86.0
Wicked Choccy's → Nebraska,Wicked Choccy's,Nebraska,NE,Interior,12,4.083333333333333,4.0,2.1933093855190746,0.3333333333333333,185.75,121.21000000000001,80.61342592592594,29.081880779040002,58.333333333333336,62.160516491056306,True,87.0
Wicked Choccy's → Florida,Wicked Choccy's,Florida,FL,Gulf,131,4.358778625954199,4.0,1.9614308054231002,0.31297709923664124,2009.25,1308.59,73.91857506361322,38.88823713613859,60.87786259541984,61.900812464696216,True,88.0
Wicked Choccy's → Tennessee,Wicked Choccy's,Tennessee,TN,Gulf,56,4.839285714285714,5.0,1.4241652829804385,0.32142857142857145,915.75,596.21,62.239583333333336,61.6096854444507,59.82142857142858,61.47757017063649,True,89.0
Wicked Choccy's → New Mexico,Wicked Choccy's,New Mexico,NM,Pacific,14,5.0,5.0,1.3587324409735149,0.2857142857142857,229.5,149.26,58.333333333333336,64.37689993192963,64.28571428571429,61.33232022107765,True,90.0
Lot's O' Nuts → Arizona,Lot's O' Nuts,Arizona,AZ,Pacific,94,4.414893617021277,5.0,2.002200802386489,0.2978723404255319,1468.05,1013.15,72.55466903073285,37.164036829515446,62.765957446808514,61.25983308444742,True,91.0
Lot's O' Nuts → Delaware,Lot's O' Nuts,Delaware,DE,Atlantic,39,4.512820512820513,5.0,1.861971152354335,0.3076923076923077,631.59,436.19,70.17450142450141,43.09447645648468,61.53846153846154,61.24548521098726,True,92.0
Lot's O' Nuts → Tennessee,Lot's O' Nuts,Tennessee,TN,Gulf,88,4.7272727272727275,5.0,1.5736864453292996,0.32954545454545453,1361.56,941.76,64.96212121212122,55.28629929850466,58.80681818181819,61.004339976141324,True,93.0
Lot's O' Nuts → Maine,Lot's O' Nuts,Maine,ME,Atlantic,5,5.2,5.0,0.8366600265340756,0.4,71.23,49.03,53.47222222222222,86.45581786425866,50.0,60.850065577175776,True,94.0
The Other Factory → Pennsylvania,The Other Factory,Pennsylvania,PA,Atlantic,7,4.0,4.0,2.581988897471611,0.2857142857142857,97.5,7.5,82.6388888888889,12.644270192792042,64.28571428571429,60.55194056407103,True,95.0
Wicked Choccy's → Delaware,Wicked Choccy's,Delaware,DE,Atlantic,37,4.8108108108108105,5.0,1.5426859304083511,0.32432432432432434,601.5,391.42,62.93168168168169,56.59733931109464,59.45945945945946,60.48004053347937,True,96.0
Lot's O' Nuts → Minnesota,Lot's O' Nuts,Minnesota,MN,Interior,38,5.026315789473684,5.0,1.4793505168268428,0.2631578947368421,561.21,388.81,57.6937134502924,59.27585164003603,67.10526315789475,60.4421354246289,True,97.0
Wicked Choccy's → Arizona,Wicked Choccy's,Arizona,AZ,Pacific,88,4.375,4.5,1.984494492510523,0.3522727272727273,1429.5,931.46,73.52430555555556,37.91285280182764,55.965909090909086,60.231843250961965,True,98.0
Wicked Choccy's → Michigan,Wicked Choccy's,Michigan,MI,Interior,83,4.590361445783133,5.0,1.8546983488763644,0.3493975903614458,1127.0,733.5600000000001,68.28982597054885,43.40204993994575,56.32530120481928,59.07675077146568,True,99.0
Wicked Choccy's → Oklahoma,Wicked Choccy's,Oklahoma,OK,Interior,22,4.590909090909091,5.0,1.967814618376023,0.3181818181818182,308.25,200.91,68.27651515151516,38.61825987171205,60.227272727272734,58.849640725503775,True,100.0
Lot's O' Nuts → Quebec,Lot's O' Nuts,Quebec,,Atlantic,20,4.65,5.0,1.9808291724745768,0.3,242.93,165.82999999999998,66.84027777777777,38.06786252467666,62.5,58.56210452005805,True,101.0
Lot's O' Nuts → Oklahoma,Lot's O' Nuts,Oklahoma,OK,Interior,34,4.5588235294117645,5.0,2.0179674212853347,0.38235294117647056,569.4,395.0,69.05637254901961,36.49725215537845,52.20588235294118,56.703969901589716,True,102.0
Wicked Choccy's → Arkansas,Wicked Choccy's,Arkansas,AR,Gulf,21,4.666666666666667,5.0,2.0575065816014617,0.3333333333333333,393.5,256.38,66.43518518518518,34.82510505166619,58.333333333333336,56.50720218884247,True,103.0
Wicked Choccy's → Indiana,Wicked Choccy's,Indiana,IN,Interior,44,4.863636363636363,5.0,1.6787441193290356,0.38636363636363635,708.25,461.31,61.64772727272728,50.84331457407306,51.70454545454545,56.46082864351827,True,104.0
Secret Factory → Michigan,Secret Factory,Michigan,MI,Interior,5,4.2,5.0,2.4899799195977463,0.4,82.5,41.7,77.77777777777777,16.535413672754995,50.0,55.522742307077635,True,105.0
Wicked Choccy's → Oregon,Wicked Choccy's,Oregon,OR,Pacific,39,4.769230769230769,5.0,1.8419317442856802,0.41025641025641024,628.25,409.51,63.942307692307686,43.94196127645041,48.71794871794872,55.13613134475363,True,106.0
Wicked Choccy's → Iowa,Wicked Choccy's,Iowa,IA,Interior,12,4.583333333333333,4.5,2.0652243256245835,0.4166666666666667,172.5,112.5,68.46064814814815,34.49871462727997,47.916666666666664,54.834169397560736,True,107.0
Lot's O' Nuts → New Jersey,Lot's O' Nuts,New Jersey,NJ,Atlantic,53,4.9245283018867925,5.0,1.696705593017217,0.41509433962264153,825.88,567.98,60.16771488469602,50.08370749172826,48.113207547169814,54.633086202072526,True,108.0
Lot's O' Nuts → Iowa,Lot's O' Nuts,Iowa,IA,Interior,14,4.785714285714286,4.5,1.8471837786446457,0.42857142857142855,227.87,157.47,63.54166666666668,43.71984795963423,46.42857142857144,54.30793818038476,True,109.0
Lot's O' Nuts → Nevada,Lot's O' Nuts,Nevada,NV,Pacific,23,4.608695652173913,4.0,2.1049536905893422,0.43478260869565216,389.21,268.11,67.84420289855073,32.818523595730625,45.652173913043484,53.5397758264689,True,110.0
Lot's O' Nuts → New Mexico,Lot's O' Nuts,New Mexico,NM,Pacific,18,5.444444444444445,5.0,1.1991282236408356,0.4444444444444444,260.71,179.41,47.53086419753086,71.12670765721523,44.44444444444445,52.65822012418035,True,111.0
Wicked Choccy's → Minnesota,Wicked Choccy's,Minnesota,MN,Interior,36,5.0,5.0,1.9123657749350296,0.3888888888888889,595.25,387.87,58.333333333333336,40.96324196598868,51.38888888888889,52.25469938038606,True,112.0
The Other Factory → New York,The Other Factory,New York,NY,Atlantic,13,4.769230769230769,5.0,2.0475125621855637,0.46153846153846156,181.75,29.75,63.942307692307686,35.247761235741045,42.30769230769231,51.36001723201218,True,113.0
Lot's O' Nuts → District of Columbia,Lot's O' Nuts,District of Columbia,DC,Atlantic,6,5.666666666666667,6.0,0.5163977794943222,0.6666666666666666,126.0,85.3,42.129629629629626,100.0,16.666666666666675,50.23148148148148,True,114.0
Lot's O' Nuts → Arkansas,Lot's O' Nuts,Arkansas,AR,Gulf,25,4.88,5.0,2.2045407685048604,0.48,434.69,299.69,61.25000000000001,28.606895362551416,40.00000000000001,47.77672384063786,True,115.0
Wicked Choccy's → Montana,Wicked Choccy's,Montana,MT,Pacific,5,4.6,5.0,2.8809720581775866,0.4,109.5,71.46000000000001,68.05555555555556,0.0,50.0,46.52777777777778,True,116.0
Lot's O' Nuts → South Dakota,Lot's O' Nuts,South Dakota,SD,Interior,6,5.5,6.0,1.224744871391589,0.6666666666666666,117.59,82.09,46.18055555555556,70.04335629110723,16.666666666666675,44.76778351722126,True,117.0
Lot's O' Nuts → Newfoundland and Labrador,Lot's O' Nuts,Newfoundland and Labrador,,Atlantic,5,7.4,7.0,2.3021728866442674,0.8,162.0,112.5,0.0,24.477944158964167,0.0,6.119486039741042,True,118.0
The Other Factory → North Carolina,The Other Factory,North Carolina,NC,Gulf,1,1.0,1.0,0.0,0.0,9.0,7.0,155.55555555555554,121.838932451802,100.0,133.2375108907283,False,
Secret Factory → Nebraska,Secret Factory,Nebraska,NE,Interior,1,2.0,2.0,0.0,0.0,2.5,1.3,131.24999999999997,121.838932451802,100.0,121.08473311295049,False,
The Other Factory → New Hampshire,The Other Factory,New Hampshire,NH,Atlantic,2,2.0,2.0,0.0,0.0,35.75,2.75,131.24999999999997,121.838932451802,100.0,121.08473311295049,False,
